編號,用戶名稱,用電地址
385,安森科技材料股份有限公司,臺南市仁德區義林路２５６巷１６８之１號
386,統奕包裝股份有限公司,臺南市麻豆區麻口里麻豆口１之３７號
387,國泰人壽保險股份有限公司,臺南市中西區永福路一段１８９號２樓
388,財團法人奇美博物館基金會,臺南市仁德區文華路二段６６號
389,宏和精密紡織股份有限公司,臺南市仁德區中正路一段５２８號
390,基益企業股份有限公司,臺南市永康區王行里環工路１０７號
391,冠聚工業股份有限公司二廠,臺南市永康區環工路１０號及經建路３號
392,伊頓飛瑞慕品股份有限公司,臺南市關廟區保東路２６９之１號
393,佳和實業股份有限公司大營廠,臺南市新市區大營里豐榮１５５號
394,木通實業股份有限公司,臺南市新市區潭頂里１２號
395,展旺生命科技股份有限公司南科分公司,臺南市新市區新科段４７號
396,台灣應用材料股份有限公司台南分公司,臺南市善化區南科七路１２號
397,三福氣體股份有限公司,臺南市善化區安順一路３號
398,奇美實業股份有限公司ＰＲＰ南科廠,臺南市善化區善晶段８地號
399,臺灣可果美股份有限公司,臺南市善化區小新里小新營３９４號
400,中國醫藥大學附設醫院,臺南市安南區長和路二段６６號
401,八陽光電股份有限公司,臺南市安南區科工段２５３地號
402,義強科技（股）公司,臺南市安南區工業一路３６號
403,州巧科技股份有限公司,臺南市安南區工業二路６１號１．２樓
404,森田印刷廠股份有限公司,臺南市安南區科技五路８５號
405,大潤發流通事業（股）公司安平分公司,臺南市郡平路４２號一－五樓
406,興國學校財團法人臺南市興國高級中學,臺南市新營區大同路８６號
407,金鼎紙業股份有限公司,臺南市新營區嘉芳里八德路１４號
408,宗勤企業股份有限公司,臺南市南區新義南路３５號
409,首銳銲材工業股份有限公司,臺南市仁德區文華路二段３５８巷６８號
410,茂琦實業有限公司,臺南市歸仁區六甲路４２６號１－２樓
411,宜伸企業股份有限公司,臺南市永康區富強路二段２７８巷２９號
412,宏進金屬科技股份有限公司,臺南市新化區大德路５９號
413,富強鑫精密工業（股）公司二廠,臺南市關廟區保東路２６９－７號平房
414,桂盟企業股份有限公司,臺南市新化區中山路４１號
415,亞獵士科技股份有限公司,臺南市山上區北勢洲２１－９號
416,台南石英科技股份有限公司,臺南市新市區大順七路９２號１～３樓
417,聯亞光電工業股份有限公司,臺南市善化區南科九路１２號１．２樓
418,港香蘭應用生技股份有限公司,臺南市新市區南科一路１號
419,和昌精密股份有限公司,臺南市安定區安加里安定２５８－７７號
420,中國石油化學工業開發股份有限公司小港廠,臺南市安南區鹽田段６６８地號
421,三恆金屬股份有限公司,臺南市佳里區海澄里萊芊寮１２－１４號平房
422,台霖生物科技股份有限公司,臺南市新營區舊廍部里舊廍８０號
423,登榮塑膠企業股份有限公司,臺南市柳營區光福里柳營路一段２２６－１號
424,中國化學製藥股份有限公司台南官田工廠,臺南市官田區二鎮里工業西路４６號
425,國華防火材工業股份有限公司,臺南市學甲區信義路８號
426,南展金屬工業股份有限公司,臺南市下營區賀建里洲仔路５５號
427,宗興鐵線廠股份有限公司,臺南市東山區聖賢里頂窩６２號之１
428,台灣穗高工業股份有限公司台南廠,臺南市永康區中正南路２７０號
429,臺灣省臺南市私立南英高級商工職業學校,台南永福路１段１４９號
430,金器工業股份有限公司,臺南市佳里區海澄里萊芊寮１２－１３號
431,恆耀工業股份有限公司,臺南市仁德區新田二街１０號及１６巷２４號一樓
432,廣翰實業股份有限公司,臺南市永康區永康工業區環工路６６號
433,生達化學製藥股份有限公司,臺南市新營區土庫里６－２０號
434,邰偉工業股份有限公司,臺南市官田區渡頭里三塊厝１４１號
435,德賢塑膠企業股份有限公司,臺南市東山區聖賢里頂窩１－７、１－８號
436,孟益企業股份有限公司,臺南市新營區嘉芳里新工路４巷２號
437,雅織流行股份有限公司仁德三廠,臺南市仁德區太乙六街３０號１－３樓
438,萱華工業股份有限公司,臺南市仁德區忠義路８０號
439,南良實業股份有限公司蔦松廠,臺南市永康區正北五路１２７號１－２樓
440,中華電信股份有限公司台灣南區電信分公司台南營運處,臺南市東區小東路３３８號
441,味全食品工業股份有限公司林鳳營牧場,臺南市六甲區中社里林鳳營１號
442,廣翰實業股份有限公司,臺南市永康區永科環路３０１．３０３號
443,臺灣糖業股份有限公司善化糖廠,臺南市善化區溪美里３１０號
444,南寶樹脂化學工廠股份有限公司寶立廠,臺南市西港區中山路５０８號
445,全協工業股份有限公司,臺南市佳里區海澄里萊芋寮１２－１７號平房
446,勞動部勞動力發展署雲嘉南分署,臺南市官田區二鎮里工業路４０號
447,臺南市政府文化局,臺南市中華東路三段３３２號一－六樓
448,台南紡織股份有限公司,臺南市東區東光段５７０地號
449,台南市私立崑山高級中學,臺南市開元路４４４號
450,豐年豐和企業（股）公司仁義廠,臺南市仁德區中山路１０巷５５號
451,鉅全工業股份有限公司,臺南市仁德區中正路二段７０號
452,宗輝鑄造股份有限公司,臺南市永康區龍潭里龍中街３０巷７９號
453,華美光學科技股份有限公司,臺南市安定區中沙里沙崙３０號
454,大發塑膠製品有限公司,臺南市新營區嘉芳里八德路２號
455,璟豐工業股份有限公司第一廠,臺南市關廟區關新路一段６２２－１號及６２８號
456,財團法人國家衛生研究院,臺南市東區勝利路３６７號
457,秀山交通器材（股）公司,臺南市歸仁區中山路一段１８５號
458,亞東工業氣體股份有限公司,臺南市安南區工業三路３０號
459,得生製藥（股）,臺南市永康區環工路４２號及４２－１號
460,冠昌塑膠企業股份有限公司,臺南市關廟區南雄路一段７５１號
461,有馳有限公司,臺南市善化區小新里小新營５１９號平房
462,台灣糖業（股）公司精緻農業事業部,臺南市後壁區烏樹里１８４號
463,燦豐實業（股）公司,臺南市永康區富強路二段３９８巷１９３號１樓
464,劦燦股份有限公司,臺南市新營區新圳路４號
465,東信輕金屬股份有限公司,臺南市仁德區義林路１６６號
466,環瑩企業股份有限公司,臺南市關廟區中山路二段２５６號
467,好市多股份有限公司台南分公司,臺南市北區和緯路四段８號
468,奇菱光電股份有限公司（二廠）,臺南市仁德區勝利路８５號
469,環麒鋼鋁合金股份有限公司永康廠,臺南市永康區興工路２８號
470,義田工業股份有限公司,臺南市山上區明和里北勢洲９３號
471,台灣應用材料股份有限公司,臺南市新市區大利一路１６號Ｂ１～四樓
472,律勝科技股份有限公司,臺南市善化區南科九路８號
473,宇通光能股份有限公司,臺南市新市區大業一路９號
474,晟億興塑膠電鍍廠有限公司,臺南市安南區安通路二段５２號
475,康寧學校財團法人,臺南市安中路五段１８８號
476,達邦蛋白股份有限公司,臺南市安南區工業三路５２號１－３樓
477,南寶樹脂化學工廠股份有限公司第一廠,臺南市西港區中山路５２１號一二樓
478,廣萌開發股份有限公司佳里廠,臺南市佳里區民安里同安寮８０號之２
479,台灣多代精密股份有限公司,臺南市官田區官田里官田工業區富強路３９號
480,天泰銲材工業股份有限公司官田廠,臺南市官田區二鎮里富強路８號
481,岱稜科技股份有限公司,臺南市麻豆區麻豆口１之１６號
482,凱士士企業股份有限公司第五廠,臺南市七股區篤加里篤加７７－２０號
483,優勝美染整（股）公司,臺南市永康區環工路３６－１號平房
484,成綸企業股份有限公司,臺南市永康區中正路３５０巷６３號１．２樓
485,東方錶面工藝股份有限公司,臺南市新義路１２號
486,奇美實業股份有限公司,臺南市南區新港路３７５號
487,羅一國際股份有限公司,臺南市歸仁區保吉路７３巷３２號平房
488,國立台灣歷史博物館,臺南市安南區長和路一段２５０號
489,良益企業股份有限公司,臺南市西港區西港里２－３０號
490,統一武藏野股份有限公司,臺南市麻豆區麻口里麻豆口１－２３號地下室、一二樓
491,再生發有限公司,臺南市新市區永就里永就４５－３０號１．２樓
492,展維鋁業股份有限公司,臺南市仁德區義林路１４８巷４５號
493,中華電信股份有限公司行動通信分公司高雄營運處,臺南市永康區中山南路５１５號
494,正規電線電纜工業（股）公司,臺南市新市區國際路１６號
495,梁鑫實業股份有限公司,臺南市西港區中山路４６６號１－４樓
496,煜林企業股份有限公司,臺南市永康區鹽平街３１，３３號
497,占暉光學（股）公司,臺南市新和路７、７－１、７－２號一二三樓
498,國立台南高級工業職業學校,臺南市永康區中山南路１９３號
499,桂田酒店股份有限公司,臺南市永康區永安一街９９．１０１．１０３號
500,統陽國際股份有限公司,臺南市新化區中興路４６０號
501,瑞章精密工業股份有限公司,臺南市歸仁區中山路一段６２號
502,撚旺實業有限公司,臺南市關廟區南雄路一段１３９－１號
503,台灣積體電路製造股份有限公司十四廠,臺南市善化區善科段１５７．１６１．１６２．１６３地號
504,頂正科技股份有限公司,臺南市善化區環東路二段４５號
505,永仕誠鋁業股份有限公司,臺南市工業二路７１號
506,私立港明高級中學,臺南市西港區慶安路２２９號
507,禹昌冷凍食品興業有限公司,臺南市佳里區頂廍里頂廍1之17號
508,生展生物科技股份有限公司,臺南市新營區開元路１５４號
509,正成工業股份有限公司,臺南市官田區二鎮里工業路２６號
510,保生實業股份有限公司,臺南市學甲區光華里筏子頭３之１８號
511,恒耀精鑄股份有限公司,臺南市柳營區大農里工一路２號
512,冠華染織股份有限公司,臺南市新市區大營里１２８號
513,應誠窗簾股份有限公司,臺南市善化區小新里小新營３９２號
514,將寶實業股份有限公司,臺南市永康區中正五街８５號一～三樓
515,榮盈工業股份有限公司,臺南市佳里區子龍里子良廟６３－１號
516,豐新國際科技股份有限公司,臺南市永康區中正南路４０４巷１５號
517,海屏企業有限公司,臺南市仁德區開發六路３３號
518,衛生福利部嘉南療養院,臺南市仁德區中山路８７０巷８０號
519,劦志實業股份有限公司,臺南市關廟區五甲路３９號
520,良鎰鑄造有限公司,臺南市山上區明和里北勢洲９７－２號
521,福隆尖端科技股份有限公司,臺南市善化區溪美里溪尾路７２－３６號
522,衛生福利部新營醫院,臺南市新營區忠政里信義街７３號１－６樓
523,宗鉦企業股份有限公司,臺南市關廟區大順路６９號
524,漢泰國際電子股份有限公司,臺南市仁德區忠義路１３４號
525,強維瀝青有限公司,臺南市學甲區新達里瓦寮２之１６號
526,長虹光學企業股份有限公司,臺南市南區新信路１３－１號
527,國泰人壽保險股份有限公司,臺南市西門路一段４９６號１－１２樓
528,國立成功大學醫學院附設醫院,臺南市東區小東路３５號及東豐路１６６號
529,臺南市政府水利局（安平抽水站）,臺南市安平區運河路４３號之１
530,統一熱處理股份有限公司,臺南市永康區中山北路６３４巷２６號
531,曾文育樂事業股份有限公司,臺南市楠西區密枝里密枝１０２－５號一－七樓
532,台灣日立化成電子材料股份有限公司,臺南市善化區環東路二段２１號
533,奇菱科技股份有限公司,臺南市新市區新晶段６１地號
534,奇力光電科技股份有限公司,臺南市新市區堤塘港路３號
535,八陽光電股份有限公司,臺南市安南區工業二路１２８號
536,德揚科技股份有限公司,臺南市安南區工明南一路１２３號１～３樓
537,臺南市政府文化局,臺南市新營區中正路２３號
538,勁耘科技股份有限公司,臺南市新營區新中路５號一樓
539,勁耘科技股份有限公司,臺南市新營區嘉芳里四維路２２號
540,財團法人工業技術研究院,臺南市六甲區甲東里工研路８號
541,惠光股份有限公司,臺南市麻豆區小埤里苓子林１７－１０號
